what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1331268884621
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1331268889853
closed,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1331268891917
executed,command,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.launchShortcut.run",1331268895623
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1331268899361
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1331268899408
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1331268899417
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1331268901726
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1331268903531
opened,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1331268904825
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1331268904853
activated,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1331268904880
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1331268910568
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1331268915516
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1331268916694
closed,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1331268916695
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1331268919747
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1331268988219
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1331268991619
executed,command,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.launchShortcut.run",1331269007479
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1331269009084
