what,kind,bundleId,bundleVersion,description,time
locale,sysinfo,,,"en_IN",1331311219436
processors,sysinfo,,,"4",1331311219436
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1331311219436
java.runtime.version,sysinfo,,,"1.6.0_23-b05",1331311219436
java.specification.name,sysinfo,,,"Java Platform API Specification",1331311219436
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1331311219436
java.specification.version,sysinfo,,,"1.6",1331311219436
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1331311219436
java.version,sysinfo,,,"1.6.0_23",1331311219436
java.vm.info,sysinfo,,,"mixed mode",1331311219436
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1331311219436
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1331311219436
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1331311219436
java.vm.specification.version,sysinfo,,,"1.0",1331311219436
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1331311219436
java.vm.version,sysinfo,,,"19.0-b09",1331311219436
started,bundle,org.eclipse.ui.navigator,3.5.101.v20120106-1355,"org.eclipse.ui.navigator",1331311229854
started,bundle,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.resources",1331311229863
started,bundle,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.editors",1331311230047
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1331311230053
started,bundle,org.eclipse.jdt.core,3.7.3.v20120119-1537,"org.eclipse.jdt.core",1331311230315
started,bundle,org.eclipse.jdt.core.manipulation,1.4.0.v20110928-1453,"org.eclipse.jdt.core.manipulation",1331311230419
started,bundle,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui",1331311230432
started,bundle,org.eclipse.emf.common,2.7.0.v20120127-1122,"org.eclipse.emf.common",1331311230536
started,bundle,org.eclipse.emf.ecore,2.7.0.v20120127-1122,"org.eclipse.emf.ecore",1331311230597
started,bundle,org.eclipse.emf.edit,2.7.2.v20120130-0943,"org.eclipse.emf.edit",1331311230599
started,bundle,org.eclipse.emf.common.ui,2.7.0.v20120130-0943,"org.eclipse.emf.common.ui",1331311230609
started,bundle,org.eclipse.emf.edit.ui,2.7.0.v20120130-0943,"org.eclipse.emf.edit.ui",1331311230611
started,bundle,org.eclipse.jst.j2ee.webservice.ui,1.1.500.v201105122000,"org.eclipse.jst.j2ee.webservice.ui",1331311230612
started,bundle,org.eclipse.wst.common.emf,1.2.100.v201101101900,"org.eclipse.wst.common.emf",1331311230629
started,bundle,org.eclipse.jem.util,2.1.100.v201103021400,"org.eclipse.jem.util",1331311230641
started,bundle,org.eclipse.emf.ecore.xmi,2.7.0.v20120127-1122,"org.eclipse.emf.ecore.xmi",1331311230648
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.2.101.v201107140600,"org.eclipse.wst.common.emfworkbench.integration",1331311230651
