what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1332314545582
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1332314555171
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1332314639726
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1332314653756
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1332314660145
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1332314661268
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1332314666549
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1332314669993
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1332314671329
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1332314671337
activated,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1332314672589
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1332314672650
closed,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1332314672650
executed,command,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.launchShortcut.run",1332314677379
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1332314682176
opened,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1332314691551
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1332314691579
activated,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1332314691613
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1332314712215
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1332314771568
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1332314777945
activated,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1332314777970
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1332314786084
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1332314868526
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1332314870611
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1332314874178
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1332314876799
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1332314896279
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1332314899437
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1332314900029
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1332314900038
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1332314905116
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1332314909809
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1332314911862
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1332314914011
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1332314914052
closed,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1332314915343
executed,command,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.launchShortcut.run",1332314929979
opened,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1332314941200
activated,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1332314941244
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1332314949611
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1332314980810
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1332314982276
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1332314998769
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1332315050873
started,bundle,org.eclipse.jpt.jpa.ui,3.0.2.v201201243020,"org.eclipse.jpt.jpa.ui",1332315065579
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1332315068429
closed,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1332315070166
executed,command,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.launchShortcut.run",1332315072142
opened,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1332315085586
activated,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1332315085629
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1332315085691
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1332315087487
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1332315101283
closed,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1332315101283
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1332315110138
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1332315135630
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1332315138092
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1332315139830
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1332315141609
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1332315142316
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1332315145196
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1332315152158
executed,command,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.launchShortcut.run",1332315154918
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1332315157113
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1332315167782
opened,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1332315168708
activated,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1332315168764
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1332315174453
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1332315219923
