what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1331223037883
closed,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1331223037883
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1331223039705
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1331223044821
closed,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1331223045974
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1331223047218
opened,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1331223049489
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1331223049515
executed,command,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.launchShortcut.run",1331223053464
error,log,,,"Port 8080 required by Web Connector is already in use. The server may already be running in another process, or a system process may be using the port. To start this server you will need to stop the other process or change the port number(s).",1331223056029
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1331223056054
opened,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1331223056185
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1331223056213
activated,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1331223056236
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1331223057865
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1331223057906
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1331223063148
closed,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1331223063148
opened,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProgressView",1331223069727
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProgressView",1331223069776
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1331223070797
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1331223082163
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1331223130342
executed,command,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.launchShortcut.run",1331223133848
error,log,,,"Port 8080 required by Web Connector is already in use. The server may already be running in another process, or a system process may be using the port. To start this server you will need to stop the other process or change the port number(s).",1331223136413
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1331223136438
opened,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1331223136639
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1331223136674
activated,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1331223136695
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1331223137917
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1331223147097
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1331223149548
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1331223150477
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1331223158785
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1331223163877
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1331223194030
