what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1332334495958
activated,view,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.ServersView",1332334496000
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1332334509731
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1332334510949
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1332334511740
opened,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1332334515830
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1332334515902
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1332334515933
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1332334532543
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1332334561152
activated,view,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.ServersView",1332334565124
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1332334565509
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1332334565628
activated,view,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.ServersView",1332334565890
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1332334567131
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1332334588641
started,bundle,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser",1332334589645
opened,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1332334590118
